aded,boro,nta_name,DEM,REP,ALL_OTH,total_first2016,total_voted2016,pct_total_first2016_total_voted2016,pct_dem_first2016,pct_rep_first2016,pct_oth_first2016,trump_votes,clinton_votes,total_votes,winner,female_first2016,pct_female_first2016,female_first2016_dem,female_first2016_rep,male_first2016,pct_male_first2016,male_first2016_dem,male_first2016_rep
24033,Queens,Jamaica Estates-Holliswood,6,6,12,24,659,3.64,25,25,50,344,300,713,trump,13,54.16666667,3,4,11,45.83333333,3,2
24034,Queens,Jamaica Estates-Holliswood,2,6,5,13,380,3.42,15.38,46.15,38.46,208,164,412,trump,7,53.84615385,2,3,6,46.15384615,0,3
24035,Queens,Jamaica Estates-Holliswood,13,9,4,26,548,4.74,50,34.62,15.38,127,400,609,clinton,14,53.84615385,6,5,12,46.15384615,7,4
24036,Queens,Jamaica Estates-Holliswood,5,1,4,10,244,4.1,50,10,40,27,218,273,clinton,4,40,2,0,6,60,3,1
24037,Queens,Jamaica Estates-Holliswood,7,,3,10,394,2.54,70,0,30,99,607,765,clinton,6,60,5,0,4,40,2,0
24038,Queens,Jamaica Estates-Holliswood,1,,0,1,22,4.55,100,0,0,5,14,21,clinton,1,100,1,0,0,0,0,0
24039,Queens,Pomonok-Flushing Heights-Hillcrest,,1,0,1,103,0.97,0,100,0,21,79,109,clinton,0,0,0,0,1,100,0,1
24040,Queens,Jamaica Estates-Holliswood,10,6,4,20,678,2.95,50,30,20,92,575,709,clinton,12,60,5,3,8,40,5,3
24041,Queens,Pomonok-Flushing Heights-Hillcrest,6,,1,7,152,4.61,85.71,0,14.29,44,102,170,clinton,5,71.42857143,4,0,2,28.57142857,2,0
24042,Queens,Pomonok-Flushing Heights-Hillcrest,15,3,0,18,348,5.17,83.33,16.67,0,75,270,390,clinton,8,44.44444444,7,1,10,55.55555556,8,2
24043,Queens,Briarwood-Jamaica Hills,19,3,4,26,677,3.84,73.08,11.54,15.38,67,602,787,clinton,14,53.84615385,11,2,12,46.15384615,8,1
24044,Queens,Briarwood-Jamaica Hills,12,,4,16,477,3.35,75,0,25,65,430,539,clinton,5,31.25,5,0,11,68.75,7,0
24045,Queens,Briarwood-Jamaica Hills,13,5,6,24,508,4.72,54.17,20.83,25,116,382,548,clinton,11,45.83333333,6,2,13,54.16666667,7,3
24046,Queens,Briarwood-Jamaica Hills,16,1,4,21,507,4.14,76.19,4.76,19.05,85,411,560,clinton,14,66.66666667,10,0,7,33.33333333,6,1
24047,Queens,Briarwood-Jamaica Hills,22,6,11,39,557,7,56.41,15.38,28.21,100,455,641,clinton,22,56.41025641,14,1,17,43.58974359,8,5
24048,Queens,Briarwood-Jamaica Hills,10,,3,13,208,6.25,76.92,0,23.08,21,179,211,clinton,6,46.15384615,5,0,7,53.84615385,5,0
24049,Queens,Kew Gardens Hills,6,2,7,15,663,2.26,40,13.33,46.67,138,499,713,clinton,5,33.33333333,2,1,10,66.66666667,4,1
24050,Queens,Briarwood-Jamaica Hills,18,5,5,28,509,5.5,64.29,17.86,17.86,159,500,731,clinton,14,50,10,1,14,50,8,4
24051,Queens,Briarwood-Jamaica Hills,13,2,3,18,546,3.3,72.22,11.11,16.67,112,626,791,clinton,5,27.77777778,3,1,13,72.22222222,10,1
24052,Queens,Briarwood-Jamaica Hills,26,2,4,32,500,6.4,81.25,6.25,12.5,122,517,689,clinton,15,46.875,13,0,17,53.125,13,2
24053,Queens,Jamaica Estates-Holliswood,29,5,12,46,697,6.6,63.04,10.87,26.09,116,568,757,clinton,20,43.47826087,16,0,26,56.52173913,13,5
24054,Queens,Jamaica Estates-Holliswood,7,,5,12,693,1.73,58.33,0,41.67,86,693,839,clinton,5,41.66666667,3,0,7,58.33333333,4,0
24055,Queens,Briarwood-Jamaica Hills,15,,3,18,555,3.24,83.33,0,16.67,20,414,469,clinton,9,50,7,0,9,50,8,0
24057,Queens,Jamaica,6,1,2,9,263,3.42,66.67,11.11,22.22,22,238,285,clinton,5,55.55555556,3,1,4,44.44444444,3,0
24058,Queens,Jamaica,2,,1,3,123,2.44,66.67,0,33.33,15,113,133,clinton,2,66.66666667,2,0,1,33.33333333,0,0
24059,Queens,Queens Village,16,5,3,24,433,5.54,66.67,20.83,12.5,57,367,449,clinton,11,45.83333333,7,2,13,54.16666667,9,3
24060,Queens,Jamaica,3,,2,5,151,3.31,60,0,40,26,123,171,clinton,5,100,3,0,0,0,0,0
24061,Queens,Bellerose,11,4,2,17,422,4.03,64.71,23.53,11.76,112,306,464,clinton,6,35.29411765,4,1,11,64.70588235,7,3
24062,Queens,Briarwood-Jamaica Hills,18,1,3,22,616,3.57,81.82,4.55,13.64,49,567,667,clinton,12,54.54545455,10,0,10,45.45454545,8,1
24063,Queens,South Ozone Park,16,3,4,23,411,5.6,69.57,13.04,17.39,35,375,429,clinton,13,56.52173913,8,2,10,43.47826087,8,1
24064,Queens,Richmond Hill,6,7,2,15,356,4.21,40,46.67,13.33,50,308,387,clinton,8,53.33333333,3,4,7,46.66666667,3,3
24065,Queens,Richmond Hill,10,,2,12,334,3.59,83.33,0,16.67,77,514,655,clinton,11,91.66666667,9,0,1,8.333333333,1,0
24066,Queens,Richmond Hill,20,,3,23,457,5.03,86.96,0,13.04,78,585,716,clinton,12,52.17391304,10,0,11,47.82608696,10,0
24067,Queens,Briarwood-Jamaica Hills,13,2,6,21,510,4.12,61.9,9.52,28.57,101,413,564,clinton,13,61.9047619,6,2,8,38.0952381,7,0
24068,Queens,Richmond Hill,10,3,5,18,524,3.44,55.56,16.67,27.78,74,436,579,clinton,9,50,3,1,9,50,7,2
24069,Queens,Richmond Hill,14,4,1,19,388,4.9,73.68,21.05,5.26,49,331,419,clinton,11,57.89473684,8,2,8,42.10526316,6,2
24070,Queens,Richmond Hill,19,5,1,25,492,5.08,76,20,4,100,444,587,clinton,16,64,13,2,9,36,6,3
24071,Queens,Richmond Hill,25,3,3,31,507,6.11,80.65,9.68,9.68,76,515,658,clinton,17,54.83870968,12,2,14,45.16129032,13,1
24072,Queens,Richmond Hill,17,1,2,20,540,3.7,85,5,10,81,488,606,clinton,13,65,10,1,7,35,7,0
24073,Queens,Richmond Hill,14,6,2,22,520,4.23,63.64,27.27,9.09,76,523,654,clinton,14,63.63636364,9,3,8,36.36363636,5,3
24074,Queens,South Ozone Park,18,2,5,25,534,4.68,72,8,20,69,520,624,clinton,13,52,9,1,12,48,9,1
24075,Queens,South Ozone Park,25,5,5,35,497,7.04,71.43,14.29,14.29,91,464,591,clinton,18,51.42857143,13,1,17,48.57142857,12,4
24076,Queens,Richmond Hill,19,7,5,31,585,5.3,61.29,22.58,16.13,108,567,728,clinton,19,61.29032258,11,4,12,38.70967742,8,3
24077,Queens,South Ozone Park,19,6,2,27,544,4.96,70.37,22.22,7.41,80,376,489,clinton,13,48.14814815,8,4,14,51.85185185,11,2
24078,Queens,Briarwood-Jamaica Hills,13,2,0,15,407,3.69,86.67,13.33,0,88,594,778,clinton,11,73.33333333,10,1,4,26.66666667,3,1
24079,Queens,Richmond Hill,17,2,5,24,577,4.16,70.83,8.33,20.83,65,491,614,clinton,10,41.66666667,7,0,14,58.33333333,10,2
24084,Queens,Oakland Gardens,22,3,16,41,572,7.17,53.66,7.32,39.02,0,0,0,none,21,51.2195122,13,3,20,48.7804878,9,0
24085,Queens,Briarwood-Jamaica Hills,18,7,5,30,503,5.96,60,23.33,16.67,0,0,0,none,18,60,12,3,12,40,6,4
24086,Queens,Briarwood-Jamaica Hills,10,3,4,17,309,5.5,58.82,17.65,23.53,0,0,0,none,10,58.82352941,6,1,7,41.17647059,4,2
24087,Queens,Richmond Hill,8,3,6,17,459,3.7,47.06,17.65,35.29,0,0,0,none,9,52.94117647,5,1,8,47.05882353,3,2
24088,Queens,Richmond Hill,11,,1,12,363,3.31,91.67,0,8.33,0,0,0,none,5,41.66666667,4,0,7,58.33333333,7,0
24089,Queens,Oakland Gardens,11,3,3,17,541,3.14,64.71,17.65,17.65,0,0,0,none,10,58.82352941,8,1,7,41.17647059,3,2
24090,Queens,Jamaica Estates-Holliswood,8,1,1,10,325,3.08,80,10,10,0,0,0,none,4,40,3,0,6,60,5,1
24091,Queens,Jamaica Estates-Holliswood,9,2,7,18,401,4.49,50,11.11,38.89,0,0,0,none,12,66.66666667,6,1,6,33.33333333,3,1
25001,Queens,Kew Gardens Hills,9,2,7,18,360,5,50,11.11,38.89,270,324,682,clinton,9,50,6,1,9,50,3,1
25002,Queens,Kew Gardens Hills,1,2,0,3,90,3.33,33.33,66.67,0,31,56,90,clinton,2,66.66666667,1,1,1,33.33333333,0,1
25003,Queens,Kew Gardens Hills,16,4,9,29,607,4.78,55.17,13.79,31.03,140,448,640,clinton,17,58.62068966,9,3,12,41.37931034,7,1
25004,Queens,Pomonok-Flushing Heights-Hillcrest,9,3,8,20,522,3.83,45,15,40,139,369,551,clinton,12,60,6,2,8,40,3,1
25005,Queens,Pomonok-Flushing Heights-Hillcrest,,3,4,7,112,6.25,0,42.86,57.14,39,72,125,clinton,6,85.71428571,0,2,1,14.28571429,0,1
25006,Queens,Kew Gardens Hills,16,7,3,26,443,5.87,61.54,26.92,11.54,109,322,541,clinton,14,53.84615385,10,2,12,46.15384615,6,5
25007,Queens,Kew Gardens Hills,12,3,6,21,454,4.63,57.14,14.29,28.57,111,570,740,clinton,12,57.14285714,6,2,9,42.85714286,6,1
25008,Queens,Pomonok-Flushing Heights-Hillcrest,14,5,12,31,502,6.18,45.16,16.13,38.71,182,304,538,clinton,18,58.06451613,9,2,13,41.93548387,5,3
25009,Queens,Pomonok-Flushing Heights-Hillcrest,2,1,0,3,165,1.82,66.67,33.33,0,59,105,180,clinton,0,0,0,0,3,100,2,1
