aded,trump,johnson,clinton,stein,total,winner
28008,78,4,50,1,147,trump
28009,126,8,288,6,456,clinton
28010,166,5,339,8,613,clinton
28011,149,7,366,7,577,clinton
28012,94,7,323,8,482,clinton
28013,13,0,10,2,26,trump
28014,145,5,336,8,529,clinton
28015,302,18,339,9,733,clinton
28016,425,10,283,3,764,trump
28017,324,11,324,8,719,clinton
28018,282,15,496,20,876,clinton
28019,224,13,549,12,859,clinton
28020,144,21,601,10,858,clinton
28021,263,10,506,12,881,clinton
28022,194,21,565,14,879,clinton
28023,123,6,633,9,865,clinton
28024,91,7,322,5,460,clinton
28025,139,17,551,18,810,clinton
28026,49,7,284,5,377,clinton
28027,79,2,268,8,394,clinton
28028,192,12,576,7,870,clinton
28029,113,10,442,6,613,clinton
28030,99,8,431,10,625,clinton
28031,157,12,603,12,878,clinton
28032,135,0,274,4,447,clinton
28033,9,0,9,0,18,clinton
28034,21,0,61,0,89,clinton
28035,200,9,530,8,847,clinton
28036,129,12,570,14,790,clinton
28037,158,10,412,14,646,clinton
28038,184,9,586,8,859,clinton
28039,195,15,599,11,910,clinton
28040,195,16,504,9,798,clinton
28041,231,18,487,12,830,clinton
28042,152,15,587,19,852,clinton
28043,167,5,414,12,656,clinton
28044,197,18,524,11,821,clinton
28045,249,11,404,7,754,clinton
28046,229,11,419,12,743,clinton
28047,206,15,605,8,919,clinton
28048,160,3,476,8,702,clinton
28049,143,5,307,9,512,clinton
28050,186,8,409,13,659,clinton
28051,215,8,379,10,672,clinton
28052,199,6,124,1,352,trump
28053,226,3,259,2,555,clinton
28054,64,5,179,5,281,clinton
28055,46,2,118,1,175,clinton
28056,147,6,425,15,633,clinton
28057,124,8,272,11,453,clinton
28058,123,3,290,8,459,clinton
28059,9,0,55,1,68,clinton
28060,198,3,491,13,758,clinton
28061,204,7,355,7,607,clinton
28062,243,11,416,5,723,clinton
28063,253,12,390,13,727,clinton
28064,273,12,409,9,759,clinton
28065,239,11,496,14,837,clinton
28066,235,15,488,14,827,clinton
28067,244,10,410,13,733,clinton
28068,223,8,387,15,686,clinton
28069,150,14,258,6,461,clinton
28070,388,13,382,7,840,trump
28071,465,21,336,24,899,trump
28072,312,15,312,10,687,clinton
28073,302,7,375,10,734,clinton
28074,399,7,360,4,826,trump
28075,387,8,327,11,780,trump
28076,458,13,259,4,773,trump
28077,448,10,294,12,820,trump
28078,211,12,359,16,637,clinton
28079,0,0,0,0,0,null
29001,39,6,423,1,489,clinton
29002,53,1,543,2,653,clinton
29003,54,1,554,4,655,clinton
29004,68,5,612,8,758,clinton
29005,18,2,312,3,355,clinton
29006,51,2,493,5,600,clinton
29007,15,0,50,1,77,clinton
